#id,mass,radius,vx,vy,vz,x,y,z
#-,system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#None,kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
57,1.99612098847e+30,7.47989353455e+13,12.4652466344,40613.5393744,1.34113116853,2.62316092071e+20,6.55123671064e+15,6.49554463385e+15
58,2.61318151582e+30,7.47989353455e+13,506.040028289,40621.9977401,-401.690449217,2.62282035454e+20,-7.00976998624e+15,-2.79822146799e+16
59,2.10076105502e+30,7.47989353455e+13,-523.37434117,39874.6666628,47.7777709479,2.62300571836e+20,-1.4752905976e+16,6.77950802038e+15
60,2.84773483475e+30,7.47989353455e+13,586.123171323,40602.5029611,-345.555146066,2.62281453988e+20,-9.98169472707e+15,-2.81042847623e+16
61,3.85402227999e+30,7.47989353455e+13,-567.490949247,39881.9490776,57.5456564865,2.62301874877e+20,-1.31958299446e+16,8.39211919077e+15
62,6.07262370739e+30,7.47989353455e+13,581.618348609,40302.819391,163.063760907,2.62233503142e+20,1.66022115049e+16,-2.02808543035e+16
63,4.05156732835e+30,7.47989353455e+13,-472.432395821,39821.3952484,95.4775044177,2.62308836279e+20,-2.23159214358e+16,1.97104677027e+16
64,2.85959794386e+30,7.47989353455e+13,-715.687581001,39266.9013234,-248.058232621,2.62264767597e+20,3.15520346521e+14,2.0771239017e+16
65,8.74530578213e+30,7.47989353455e+13,616.407312391,40415.759592,62.2929191188,2.62235786593e+20,1.42575395708e+16,-2.68762365445e+16
66,1.16832690035e+31,7.47989353455e+13,157.726426733,40545.1912937,18.9316962204,2.62308250356e+20,1.5853723577e+16,1.19177034967e+16
67,2.54786567466e+30,7.47989353455e+13,555.730235997,40401.4850487,-0.552799291947,2.62235327803e+20,1.58726174106e+16,-2.7664873561e+16
68,7.01714965977e+30,7.47989353455e+13,570.5157012,40376.7797825,11.0907736517,2.62235553412e+20,1.84697307166e+16,-2.82717886332e+16
69,2.2607979347e+30,7.47989353455e+13,-530.301092489,39854.8678703,35.0770202679,2.62294937595e+20,-1.82351237857e+16,2.17950010274e+15
70,6.3483875156e+30,7.47989353455e+13,7.22767093733,39716.8578695,-16.8328910888,2.62302929113e+20,-1.24659039456e+16,1.49094702322e+16
71,5.4938937887e+30,7.47989353455e+13,-597.114161961,39116.5668127,84.0893334553,2.62246054637e+20,5.99355144598e+15,8.11500646562e+15
72,3.0190689565e+30,7.47989353455e+13,18.5161996553,40704.7142844,104.286730018,2.62312966194e+20,1.46203819816e+16,1.13049351546e+16
73,6.44125550867e+30,7.47989353455e+13,559.904666266,40316.970867,21.4324904312,2.62234987345e+20,1.51747340443e+16,-1.74968080124e+16
74,3.76591363851e+31,7.47989353455e+13,581.780084627,40327.7515033,36.9232170562,2.62235013398e+20,1.72514511565e+16,-1.71257608698e+16
75,2.61653993295e+30,7.47989353455e+13,49.2852617387,40711.8096366,70.7110484312,2.62311369183e+20,9.49351282416e+15,8.86365125236e+15
76,2.03742641512e+30,7.47989353455e+13,-870.644516447,39129.1356783,102.737924519,2.62228783687e+20,1.60486777184e+15,6.18764605672e+15
77,4.77766003135e+30,7.47989353455e+13,113.738998675,39519.9725589,295.845586182,2.62323169509e+20,-2.28878427276e+16,-1.67732163181e+15
78,2.24769116117e+30,7.47989353455e+13,-692.483429786,38775.3417587,-88.738699784,2.62253895907e+20,9.39378943089e+15,1.47484164728e+16
79,8.08768524159e+30,7.47989353455e+13,-636.780406954,38809.9538953,-36.0623321585,2.62249833852e+20,6.90300576526e+15,1.81330871876e+16
