time (yr),particle1_id,particle2_id,particle1_radius (AU),particle2_radius (AU),particle1_x (kpc),particle1_y (kpc),particle1_z (kpc),particle2_x (kpc),particle2_y (kpc),particle2_z (kpc),particle1_vx (km/s),particle1_vy (km/s),particle1_vz (km/s),particle2_vx (km/s),particle2_vy (km/s),particle2_vz (km/s),particle1_mass (MSun),particle2_mass (MSun),mass_ratio
233064.066571,12926560319496701497,8352312517096958256,125.0,125.0,8.48278343496,0.0934417454133,0.00116493118425,8.48278514976,0.0934432727125,0.00116562199495,-11.9362883907,39.8765242987,0.155028324694,-15.3545161635,41.1392524106,-0.0265622537879,1.19393060493,2.66908502285,2.23554452147
283389.139905,5480811902745948663,7369841181647126699,250.0,250.0,8.48187247485,0.0965479537266,0.0013715082346,8.48187567957,0.096551142317,0.00137021824632,-12.7603549306,40.2295601829,0.340987969105,-15.4704246385,40.0393606459,2.15812331168,2.9255436961,2.10840652579,1.38756148794
284407.017652,5480811902745948663,7369841181647126699,125.0,125.0,8.4818592235,0.0965901161493,0.00137182278756,8.48185917695,0.0965924014116,0.00137251671365,-12.7249664067,40.9973735267,0.345212412523,-16.2000774816,38.9239036281,2.14427062853,2.9255436961,2.10840652579,1.38756148794
481516.049675,16029946471315430272,4433530373721914917,250.0,250.0,8.4802840909,0.101324081614,-0.00100385619452,8.4802840188,0.101328102586,-0.00100652518897,-13.1390179842,39.5991123605,-1.09838942299,-16.0303994179,40.1099862438,0.290662273697,3.95498252299,2.92280090408,1.35314811128
549624.046008,864973199408359627,11239772973038068957,125.0,125.0,8.48095383059,0.104364791478,-0.00119549435343,8.48095375322,0.104362432988,-0.00119580691739,-9.90684191254,35.467579595,-1.52343735327,-16.079076913,40.3103889508,-0.58381355848,1.32179765675,16.3203492777,12.347085951
641771.919727,1677196506660935381,13530389724710093577,250.0,31.25,8.4773099783,0.108071634612,-0.000622906701917,8.4773120894,0.108071863226,-0.00062123631729,-15.1764973244,40.1582417966,-0.346527863398,-18.374480742,40.031376767,-0.456911142017,2.37159624868,1.04752931854,2.26399033106
642265.88981,13530389724710093577,1677196506660935381,15.625,125.0,8.47730249893,0.108092058907,-0.000621675632629,8.47730225228,0.108091930707,-0.000622989931134,-19.6249372453,39.8897857243,-1.63921933346,-15.3971860659,40.2087349986,0.174661781385,1.04752931854,2.37159624868,2.26399033106
708981.788635,2681374939895927393,6682658825671119409,250.0,250.0,8.47532626785,0.11222438005,0.0013584295249,8.47533092458,0.112223396424,0.00135788719656,-15.3188109851,40.8700795385,-0.223655451679,-18.0786929817,40.1890379035,0.27824851806,1.13911949519,1.14344712292,1.003799099
709879.916059,6682658825671119409,2681374939895927393,125.0,125.0,8.47531401428,0.112260363831,0.00135817109332,8.47531215607,0.112261877012,0.00135822679481,-18.8100433349,40.3706351988,0.340159390421,-15.3409447174,40.7121780974,-0.21814285316,1.14344712292,1.13911949519,1.003799099
775024.091892,6676315323764534666,17073464836397362919,250.0,250.0,8.47405462826,0.116548269532,0.00177560168343,8.47405305317,0.116545992742,0.00177936203858,-16.8898019579,39.6473374386,1.49517039257,-17.5101412746,41.2674943346,0.114511238378,1.58188161424,1.09020982303,1.45098822339
776371.283028,6676315323764534666,17073464836397362919,125.0,125.0,8.47403094567,0.116602796665,0.00177789781896,8.47402891754,0.116603006475,0.00177916463856,-17.6196384302,39.5322520368,1.90513729117,-17.3356679904,41.4573393514,-0.498718281109,1.58188161424,1.09020982303,1.45098822339
776431.15819,17329556310408049370,1982526821819120375,125.0,125.0,8.47433880849,0.115342123533,0.00112826774872,8.47433914312,0.115340481064,0.00112651823356,-15.7534617576,38.1826057516,0.675507488892,-17.9998846923,41.1257826724,-0.422798034751,1.50475520846,2.77854322352,1.84650846058
789352.966505,864973199408359627,11239772973038068957,62.5,62.5,8.47693678364,0.114167145871,-0.00135762947763,8.47693743277,0.114167137596,-0.00135861663478,-8.27376180757,41.553639387,-5.59339485445,-18.0904004906,39.8446060504,-0.273411650867,1.32179765675,16.3203492777,12.347085951
789407.22837,864973199408359627,11239772973038068957,31.25,31.25,8.47693637196,0.114169445346,-0.00135804557308,8.47693642277,0.11416934918,-0.00135862323938,-6.55858787529,41.0719456586,-10.7129242668,-18.3106974609,39.8821977867,0.141478023581,1.32179765675,16.3203492777,12.347085951
789435.294852,864973199408359627,11239772973038068957,15.625,15.625,8.47693615252,0.11417059205,-0.00135847640245,8.47693589972,0.114170496537,-0.00135860918894,-11.7391944765,37.7646605772,-20.5057202378,-17.8914259062,40.1498851723,0.934654596856,1.32179765675,16.3203492777,12.347085951
809452.309818,17073464836397362919,11158798109344055918,62.5,250.0,8.47347110952,0.117971520466,0.00179425827077,8.47347088829,0.11797209926,0.00179136037623,-15.6537868731,41.8565819135,-1.93772590755,-17.4577116613,39.4016460681,1.20675680068,1.09020982303,6.00234568475,5.505679327
809871.43595,17073464836397362919,11158798109344055918,31.25,125.0,8.47346427212,0.117989475368,0.0017930260722,8.47346339917,0.117988983314,0.00179195000333,-16.67419231,41.6589615522,-4.25400837324,-17.4090850942,39.4261468711,1.62475488283,1.09020982303,6.00234568475,5.505679327
817535.456636,11239772973038068957,10884731425801422498,7.8125,250.0,8.47643950343,0.115317364546,-0.00137634385667,8.47644192286,0.115317128266,-0.00137578315269,-16.9476968053,39.5279617543,-0.445480225672,-22.147164824,44.5669596496,-2.77784104375,16.3203492777,1.67519477004,9.74235925852
817730.050911,10884731425801422498,11239772973038068957,125.0,3.90625,8.4764371789,0.115325958542,-0.0013763951539,8.47643616027,0.115325234918,-0.00137642643144,-26.3848062629,43.4287291488,-3.3645458957,-16.56236248,39.6440289804,-0.385205794944,1.67519477004,16.3203492777,9.74235925852
871303.351762,9881616001720502445,3290283195096575851,250.0,250.0,8.47244777662,0.119574170407,0.00118726483478,8.47244872998,0.119569497583,0.00118791123603,-16.9750533679,38.5311970045,0.0569445000395,-17.777221605,40.8534496526,0.884766877313,1.05081319951,1.90850139643,1.81621376408
872291.291929,3290283195096575851,9881616001720502445,125.0,125.0,8.47243058733,0.1196109163,0.00118876335829,8.47243051048,0.119612833542,0.00118739835211,-18.1367062254,41.2106644336,0.739408578537,-17.2022081202,37.8647215808,0.321043252294,1.90850139643,1.05081319951,1.81621376408
872890.043545,3290283195096575851,9881616001720502445,62.5,62.5,8.47241950867,0.119636282248,0.00118900309739,8.4724199227,0.119635780355,0.00118798212981,-17.9307031157,41.4829891486,-0.234276014697,-17.5925205728,37.366711806,2.09039433163,1.90850139643,1.05081319951,1.81621376408
892888.347523,1677196506660935381,13768040152490315228,62.5,250.0,8.47296880996,0.118334626389,-0.000749641423019,8.4729686573,0.118337466211,-0.000750418619909,-16.4153649116,42.0102700145,-1.42029608696,-19.1319942356,39.160018551,0.479073829267,2.37159624868,3.34224452184,1.40928057366
909204.329062,15874439724471994765,13768040152490315228,250.0,125.0,8.47267740188,0.118999662069,-0.000744123760736,8.4726765144,0.119000656263,-0.00074740841626,-17.3070508145,39.5187495395,-2.02249092332,-17.5628229425,39.9694538101,1.55864044307,3.31409722221,3.34224452184,1.00849320275
909683.330355,15874439724471994765,13768040152490315228,125.0,62.5,8.47266883333,0.119019098241,-0.000745289380036,8.47266795257,0.119020160235,-0.000746471238263,-17.8040250818,39.9892176846,-2.87787869795,-17.2656109432,39.5053854405,2.40789075866,3.31409722221,3.34224452184,1.00849320275
909915.346606,15874439724471994765,13768040152490315228,62.5,31.25,8.47266449853,0.119028721859,-0.000746050977758,8.47266396409,0.119029400567,-0.000745821769346,-19.0771645042,41.5653951864,-3.33953318582,-16.011579182,37.9447705795,2.86611008197,3.31409722221,3.34224452184,1.00849320275
937525.280504,6722007885772799743,10166905970682353900,250.0,250.0,8.47210276558,0.120118230484,-0.000423620670712,8.4721046692,0.120122560562,-0.000422883352564,-18.9594170214,42.9509574819,-0.614241844368,-17.6193557386,39.0345216071,0.16851546777,1.21824738878,8.81085325607,7.2324006907
966175.545335,7369841181647126699,1089212187127082078,62.5,250.0,8.4705813108,0.124357177776,0.00190917742518,8.4705830829,0.124359498747,0.00190986377743,-17.4628343787,39.4096759394,0.322382572565,-17.665059185,36.9816450974,-0.142935042196,2.10840652579,1.55206402995,1.35845331449
966759.328161,1089212187127082078,7369841181647126699,125.0,31.25,8.47057225969,0.124381383415,0.00190973444784,8.47057091585,0.124380830551,0.00190944634359,-18.8585754876,36.253397357,-0.340439756365,-17.1570984429,39.8916404593,0.614343964335,1.55206402995,2.10840652579,1.35845331449
966983.860017,1089212187127082078,7369841181647126699,62.5,15.625,8.47056776218,0.124389684699,0.00190963343642,8.47056708706,0.124390007304,0.00190961047983,-20.7284785642,36.3073679971,-0.541132681443,-15.8844524935,39.8470226872,0.816200901028,1.55206402995,2.10840652579,1.35845331449
972006.824746,7369841181647126699,17073464836397362919,7.8125,15.625,8.47047492542,0.124583740584,0.00191131804207,8.47047492228,0.124583842153,0.00191111686375,-16.1749286928,37.447047946,-1.93325725061,-24.2381704974,41.4043309135,4.45281182386,2.10840652579,1.09020982303,1.93394563252
1032786.66263,12703226275876808267,15244277835595839789,31.25,250.0,8.46964600336,0.125954178971,0.0012321291835,8.46964423813,0.125952844041,0.0012336106499,-19.0255533824,40.6975189837,0.699036786415,-16.6704710312,39.3122245329,-0.641617807838,1.96448817728,1.33339501539,1.47329797592
